epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,3481.99,0.11947,0.04842,0.00047,0.11054,0.76361,0.99291,0.99658,0.99339,0.99228,0.98609,0.98973,0.98982,0.9873,0.14088,0.08667,0.00043,0.13172,0.80413,0.0009704,0.0009704,0.0009704
28,3615.85,0.12026,0.03483,0.00045,0.10908,0.76216,1,0.99995,0.995,0.99475,1,0.99995,0.995,0.995,0.12931,0.02879,0.00037,0.11587,0.79572,0.0009308,0.0009308,0.0009308
29,3754.68,0.12569,0.04442,0.00044,0.11141,0.76423,0.97355,0.88235,0.95741,0.91149,0.98489,0.89282,0.96496,0.94343,0.31992,0.41754,0.00496,0.36009,0.98638,0.0008912,0.0008912,0.0008912
30,3883.37,0.11746,0.03125,0.00038,0.10577,0.76215,0.99561,0.9863,0.99479,0.98231,0.9793,0.97196,0.98039,0.97111,0.19214,0.17891,0.00061,0.16695,0.83169,0.0008516,0.0008516,0.0008516
31,4013.63,0.11242,0.02359,0.00036,0.10174,0.76289,0.97503,0.80236,0.91491,0.8757,0.89085,0.86644,0.91736,0.8935,0.37952,0.58794,0.01263,0.61817,1.02804,0.000812,0.000812,0.000812
32,4142.77,0.11858,0.02676,0.00036,0.10384,0.76335,0.99977,1,0.995,0.995,0.99977,1,0.995,0.995,0.10479,0.01797,0.00029,0.09881,0.79028,0.0007724,0.0007724,0.0007724
33,4278.54,0.105,0.0246,0.00037,0.09796,0.76222,0.99613,0.99315,0.99479,0.98983,0.96184,0.96233,0.95786,0.94853,0.14663,0.27996,0.00042,0.13432,0.80613,0.0007328,0.0007328,0.0007328
34,4405.47,0.10054,0.02666,0.00035,0.09562,0.75625,0.99982,1,0.995,0.99497,0.99982,1,0.995,0.995,0.09871,0.01915,0.0003,0.09502,0.79057,0.0006932,0.0006932,0.0006932
35,4533.84,0.10389,0.04412,0.00033,0.09865,0.75912,0.99228,0.88046,0.967,0.92749,0.97681,0.86571,0.95261,0.93418,0.26869,0.4933,0.0056,0.35105,0.91034,0.0006536,0.0006536,0.0006536
36,4665.3,0.09993,0.03472,0.00032,0.09384,0.76285,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.09791,0.01625,0.00025,0.09717,0.78965,0.000614,0.000614,0.000614
37,4792.83,0.09447,0.02327,0.0003,0.0909,0.76084,0.99975,1,0.995,0.99492,0.99975,1,0.995,0.995,0.09465,0.02042,0.00024,0.09177,0.78914,0.0005744,0.0005744,0.0005744
38,4917.99,0.09178,0.02261,0.00027,0.08843,0.75877,0.99979,1,0.995,0.995,0.99636,0.99658,0.99421,0.99421,0.08661,0.02737,0.00022,0.08674,0.78857,0.0005348,0.0005348,0.0005348
39,5046.15,0.09083,0.01662,0.00026,0.08741,0.75525,0.9998,1,0.995,0.995,0.9998,1,0.995,0.995,0.08098,0.0107,0.00022,0.08326,0.78682,0.0004952,0.0004952,0.0004952
40,5175.64,0.08403,0.01741,0.00027,0.08243,0.7569,0.99981,1,0.995,0.995,0.99981,1,0.995,0.995,0.07382,0.00969,0.00022,0.07815,0.78619,0.0004556,0.0004556,0.0004556
41,5301.68,0.08054,0.02182,0.00026,0.07951,0.75446,0.99976,1,0.995,0.995,0.99976,1,0.995,0.995,0.077,0.0135,0.00022,0.07712,0.78682,0.000416,0.000416,0.000416
42,5431.07,0.07646,0.01818,0.00025,0.0773,0.75574,0.99973,1,0.995,0.995,0.99973,1,0.995,0.99339,0.07559,0.0228,0.0002,0.07747,0.78617,0.0003764,0.0003764,0.0003764
43,5560.2,0.07507,0.0146,0.00022,0.07562,0.75366,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.07239,0.01091,0.00019,0.07358,0.78621,0.0003368,0.0003368,0.0003368
44,5688.42,0.07077,0.01208,0.00022,0.07296,0.7535,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.06504,0.00915,0.00018,0.06811,0.78515,0.0002972,0.0002972,0.0002972
45,5818.2,0.06886,0.01346,0.00023,0.07035,0.75686,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.06558,0.00955,0.00019,0.06989,0.78494,0.0002576,0.0002576,0.0002576
46,5945.38,0.06502,0.01172,0.00023,0.06717,0.75481,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.06134,0.00913,0.00019,0.06708,0.7846,0.000218,0.000218,0.000218
47,6069.71,0.06313,0.01525,0.00022,0.06607,0.75305,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.059,0.00735,0.00018,0.06432,0.78472,0.0001784,0.0001784,0.0001784
48,6196.14,0.05864,0.00931,0.00022,0.06229,0.75186,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.05705,0.00644,0.00018,0.0628,0.78431,0.0001388,0.0001388,0.0001388
49,6321.95,0.05729,0.00939,0.00022,0.06086,0.75632,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.05738,0.00651,0.00018,0.0628,0.78463,9.92e-05,9.92e-05,9.92e-05
50,6448.7,0.05468,0.0143,0.00021,0.05873,0.75108,0.99982,1,0.995,0.995,0.99982,1,0.995,0.995,0.05481,0.00651,0.00017,0.0598,0.78441,5.96e-05,5.96e-05,5.96e-05
