epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2105.48,0.27968,0.68068,0.01546,0.22807,0.81692,0.77108,0.77612,0.80152,0.66051,0.54577,0.55224,0.49086,0.33316,0.83661,4.02187,0.02512,1.00779,1.30206,0.0008912,0.0008912,0.0008912
30,2178.17,0.28659,0.64601,0.0139,0.22941,0.82403,0.76146,0.76233,0.81973,0.6749,0.53393,0.61194,0.53916,0.39866,0.72207,3.51333,0.02013,0.96974,1.24612,0.0008516,0.0008516,0.0008516
31,2244.49,0.26113,0.61005,0.01449,0.21826,0.81149,0.79528,0.81181,0.86054,0.70595,0.60686,0.57604,0.54646,0.46124,0.6951,3.49352,0.02005,0.88562,1.22112,0.000812,0.000812,0.000812
32,2311.99,0.27384,0.8747,0.01276,0.21337,0.82821,0.86388,0.83582,0.90466,0.76826,0.58879,0.56716,0.51771,0.36998,0.64722,3.55342,0.01732,0.71772,1.27916,0.0007724,0.0007724,0.0007724
33,2385.84,0.24965,0.6974,0.01316,0.20615,0.80247,0.9128,0.78128,0.8862,0.76812,0.68316,0.58209,0.55791,0.47346,0.68573,3.83576,0.02403,0.64514,1.28323,0.0007328,0.0007328,0.0007328
34,2459.59,0.26256,0.36198,0.01317,0.20809,0.8062,0.94428,0.75887,0.86602,0.75813,0.73998,0.59469,0.55667,0.46121,0.66134,3.60228,0.03498,0.72688,1.25709,0.0006932,0.0006932,0.0006932
35,2535.98,0.2608,0.40644,0.01232,0.21224,0.80194,0.92715,0.75981,0.84309,0.74048,0.76896,0.65672,0.64211,0.55546,0.69632,2.92363,0.04515,0.75879,1.29353,0.0006536,0.0006536,0.0006536
36,2610.42,0.22587,0.5579,0.01262,0.19503,0.79915,0.90569,0.86004,0.91089,0.80903,0.72311,0.65672,0.64639,0.55331,0.56599,2.91213,0.01877,0.57719,1.12127,0.000614,0.000614,0.000614
37,2680.76,0.24945,0.47323,0.0121,0.19795,0.80356,0.95654,0.92537,0.96661,0.87929,0.80226,0.77612,0.70875,0.56788,0.42487,2.42285,0.00974,0.40494,0.98061,0.0005744,0.0005744,0.0005744
38,2751.31,0.23503,0.74185,0.01147,0.19368,0.79824,0.9699,0.96197,0.98704,0.91314,0.84966,0.8436,0.77455,0.68142,0.38748,1.6872,0.00887,0.34591,0.93963,0.0005348,0.0005348,0.0005348
39,2829.6,0.23714,0.44928,0.01107,0.19357,0.79809,0.98431,1,0.99485,0.94521,0.94122,0.95601,0.94794,0.89011,0.34453,0.71864,0.0085,0.29906,0.90867,0.0004952,0.0004952,0.0004952
40,2900.8,0.20978,0.45377,0.01136,0.18539,0.79339,0.96977,1,0.98853,0.94543,0.9553,0.98507,0.98365,0.87056,0.2827,0.62934,0.00903,0.26424,0.85388,0.0004556,0.0004556,0.0004556
41,2976.78,0.22134,0.39761,0.01062,0.18407,0.80639,0.98056,1,0.995,0.97523,0.92202,0.9403,0.91761,0.88784,0.25666,0.76565,0.0092,0.23401,0.84476,0.000416,0.000416,0.000416
42,3045.79,0.19364,0.43678,0.01032,0.16531,0.79326,0.98452,1,0.995,0.96916,0.88166,0.89552,0.83202,0.81049,0.26516,1.06428,0.0095,0.21895,0.8523,0.0003764,0.0003764,0.0003764
43,3119.31,0.18714,0.39792,0.00964,0.16655,0.78355,0.98413,1,0.99485,0.97212,0.8666,0.8806,0.82502,0.78438,0.26644,1.2654,0.0098,0.21902,0.85319,0.0003368,0.0003368,0.0003368
44,3197.5,0.17406,0.29694,0.00986,0.1647,0.78097,0.98774,0.98507,0.99471,0.97345,0.86954,0.89531,0.82784,0.80069,0.24802,0.9845,0.0105,0.22199,0.84829,0.0002972,0.0002972,0.0002972
45,3268.82,0.17684,0.2509,0.00993,0.15512,0.78092,0.97101,0.99996,0.99456,0.97664,0.94197,0.97015,0.96527,0.88796,0.24023,0.68771,0.01023,0.21914,0.85002,0.0002576,0.0002576,0.0002576
46,3340.46,0.17081,0.25492,0.00924,0.14771,0.77308,0.98492,1,0.99471,0.97656,0.97017,0.98507,0.98089,0.95628,0.2302,0.39574,0.00988,0.20596,0.84526,0.000218,0.000218,0.000218
47,3413.55,0.16521,0.39093,0.00954,0.14359,0.78076,0.99612,1,0.995,0.98869,0.99612,1,0.995,0.97398,0.20087,0.23925,0.00982,0.1889,0.83407,0.0001784,0.0001784,0.0001784
48,3486.63,0.15699,0.37278,0.00962,0.15047,0.77817,0.99917,1,0.995,0.99121,0.99917,1,0.995,0.99354,0.18604,0.12736,0.00996,0.15997,0.82751,0.0001388,0.0001388,0.0001388
49,3560.41,0.14489,0.43361,0.00847,0.13504,0.76779,0.99914,1,0.995,0.99127,0.99914,1,0.995,0.99352,0.17867,0.1111,0.01,0.15611,0.82477,9.92e-05,9.92e-05,9.92e-05
50,3635.83,0.14468,0.31055,0.00885,0.13736,0.76856,0.99914,1,0.995,0.99296,0.99914,1,0.995,0.99279,0.16763,0.10856,0.01005,0.149,0.82211,5.96e-05,5.96e-05,5.96e-05
